BatteryPower,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,NumberofSeats,Drive,PriceinSwitzerland
55,9,265,394,152,38,5,2,40868.928125
82,2,127,428,133,907,5,2,95321.4325
116,8.8,253,229,192,559,1,2,65375.4175
143,5.8,136,183,212,320,2,2,64886.0475
70,11.7,280,324,196,358,5,2,58279.0825
94,6.4,194,313,156,184,3,2,58877.4008333333
113,6.9,223,167,173,153,3,3,55257.345
51,10.1,207,716,157,7,4,1,31357.255625
56,9.4,235,340,198,664,2,2,41878.9125
107,4.8,263,291,201,263,2,3,77351.1175
38,5.4,205,399,198,825,2,1,45515.560625
70,7,166,334,186,705,4,1,44937.3375
73,7.6,182,453,147,526,5,2,40651.3716666667
93,4.9,198,401,124,389,4,2,62714.7666666667
81,10.5,79,565,187,649,5,1,44562.725
85,5.6,243,485,186,532,5,3,62286.4775
106,3.4,107,234,173,912,4,2,80253.2891666667
74,5.3,206,521,193,308,2,3,61149.34
74,11.5,107,386,161,624,1,2,41521.0958333333
82,6.8,219,372,171,775,2,1,58983.0766666667
46,4.7,171,274,235,206,1,3,49378.855
66,10.2,153,231,172,733,1,3,43115.15625
80,4.3,255,305,175,922,1,3,78927.38
28,10.8,245,331,191,259,5,2,37599.3975
105,9.4,143,78,231,141,1,3,57492.315
74,10.7,238,353,252,639,4,2,55174.8325
85,11,163,363,232,134,1,1,55985.3475
89,8.3,232,168,229,301,3,1,60899.475
49,10.5,140,570,181,492,4,3,36302.6125
66,8.4,211,195,203,196,1,3,51278.295
88,12.4,166,325,207,335,3,3,54333.2225
44,3.9,122,170,153,592,3,1,53786.32125
63,6.9,262,451,193,147,5,1,51171.31
97,9.2,135,332,166,375,5,1,44779.603125
68,6.6,113,270,174,307,3,2,53003.61875
28,7.7,250,48,232,478,3,3,49286.325
53,9.5,146,303,173,267,2,3,31800.6458333333
104,2.7,202,379,170,883,3,3,110956.585
59,8.2,248,412,165,295,4,1,42086.406875
49,6.5,177,364,189,799,2,2,44704.6625
98,7.4,177,480,175,798,4,1,46540.9541666667
86,0.4,203,382,130,535,4,3,102700.54
96,5.5,132,227,209,862,3,1,61850.95
90,4.9,153,251,170,513,2,3,59192.5525
102,10,109,360,174,1046,2,2,46392.70625
75,13.5,224,361,189,477,4,1,53678.6175
15,8.3,143,436,205,473,4,1,34110.153125
52,7.3,223,265,192,300,4,2,40431.6175
53,3.5,108,95,134,644,4,2,55558.31375
58,5.7,157,422,159,703,3,2,39673.2033333333
103,10.8,235,626,164,495,4,2,55125.74
12,6.3,139,424,165,473,4,2,32588.8949107143
40,9.4,213,194,184,630,4,3,38118.1875
70,2.4,197,403,178,531,2,3,93449.615
75,5.4,164,537,192,619,3,2,58509.78
68,8.9,236,456,186,238,3,3,52572.8225
67,10.1,104,262,164,589,3,2,42095.478125
99,9.6,258,256,198,692,4,1,65558.6825
41,7.7,133,426,196,618,3,1,37902.86125
96,11,120,449,176,52,4,2,47812.4725
43,7.1,261,319,212,397,3,2,50855.2875
68,3.5,213,500,178,523,3,2,70021.4975
55,8.5,202,330,146,421,5,3,31994.605
23,10.9,149,413,206,593,3,1,32722.5625
24,11.4,145,569,203,514,2,1,32780.2375
41,9.8,228,279,177,362,1,2,34977.9291666667
43,7.8,183,398,199,293,5,1,39504.3175
104,6.8,252,523,218,409,5,3,72930.4575
71,6.7,128,301,162,5,3,3,54987.3604166667
79,5.9,168,206,238,585,1,3,60840.8225
26,6.5,295,328,188,185,2,2,50357.2075
60,6.6,184,301,132,602,2,3,40211.1130952381
24,8,182,320,152,717,3,1,29658.923125
57,8.4,104,370,224,237,5,2,38983.59
28,0.7,176,535,196,1162,1,1,92072.77
97,10.4,249,50,193,434,3,3,65616.575
46,5.9,136,240,207,693,1,1,42394.4554166667
37,7.7,199,325,144,514,5,2,31784.854375
105,4.3,181,409,163,502,1,3,75113.23
17,10.5,165,375,224,488,4,1,33512.6375
54,13.5,195,169,200,837,1,1,41844.385
45,8,178,369,202,535,4,3,40554.2625
98,10.8,189,294,181,577,5,2,49854.4
71,4.8,234,548,234,145,5,2,64678.7075
86,12.7,197,408,199,359,3,1,54236.145
58,4.3,209,480,206,865,5,2,59977.2225
115,3,187,418,182,629,2,2,105142.0475
23,10.3,170,403,186,374,2,1,32725.9625
47,2.3,152,293,215,831,1,3,97302.6375
79,9,233,453,145,547,4,2,48760.9975
59,12.8,129,220,183,579,3,3,38601.9416666667
77,4.1,189,237,227,240,1,3,75455.8275
102,4.1,154,523,190,643,4,1,77730.3575
14,8,226,309,182,998,4,1,34829.8625
109,9.3,176,484,213,640,5,2,48597.5625
107,9.2,116,541,187,710,4,2,48265.3175
37,8,192,357,246,755,1,2,39146.5475
113,9.8,163,393,157,619,3,3,44961.8925
93,6.3,229,384,208,298,2,2,66365.9575
105,5.8,193,250,129,647,2,2,61055.4625
104,9.3,168,232,211,929,2,3,52167.9575
8,7.1,192,381,210,974,4,3,37051.1625
115,4.5,208,457,184,442,3,2,78290.1475
89,6.5,225,464,169,706,2,3,61508.855
55,6.1,196,286,137,97,1,3,39142.79
55,11.1,166,245,179,753,4,2,36124.3333333333
88,6.7,312,318,179,726,4,3,70684.315
71,9,194,310,163,541,4,2,46002.5325
106,6.2,187,468,185,393,2,3,60238.985
84,8.9,257,359,171,534,5,3,59333.205
44,4.8,196,263,260,770,1,2,49444.5725
99,11.7,227,430,172,246,2,3,53612.6225
43,5.1,237,494,168,480,2,2,44993.3339880952
40,4.5,201,406,172,464,4,2,56289.1959523809
76,13.7,211,405,216,545,5,3,50316.945
56,6.5,129,378,171,1106,3,3,38930.7438392857
87,7.1,264,256,181,865,5,3,62305.59
23,5.7,143,333,220,463,3,2,39823.823125
59,7.9,217,124,217,494,3,2,40979.9125
59,12.3,214,415,195,77,5,3,40324.5125
95,9.2,76,279,164,412,1,2,46665.5902083333
72,5,137,281,170,93,4,2,57237.105
103,11,159,387,242,319,4,2,55850.815
62,11,144,356,143,238,4,1,29073.9729166667
62,2,170,414,200,698,3,2,91397.585
41,11.2,195,636,191,479,4,3,38974.075
63,8.9,164,296,177,456,5,2,39232.6625
118,11.9,182,438,234,159,1,1,56206.9025
72,9.1,206,310,165,496,3,3,46984.1325
41,9.1,204,372,167,611,5,1,34701.4572916667
18,2.2,242,443,211,430,1,1,94551.7791666667
11,3.7,187,293,158,620,5,2,47693.725952381
